pooling,split,balanced_families,trait,metric,mean,std,ci95,lo,hi,n
attention,family,False,MACRO (mean over traits),score,0.6209185294146458,0.2671842209420738,0.12462641800101944,0.49629211141362634,0.7455449474156652,20
attention,family,True,MACRO (mean over traits),score,0.6194413186279031,0.26284753647803066,0.12260359850648223,0.49683772012142086,0.7420449171343853,20
attention,genus,False,MACRO (mean over traits),score,0.6385356075886348,0.2620039374678554,0.122210106995282,0.5163255005933528,0.7607457145839168,20
attention,species,False,MACRO (mean over traits),score,0.6479294388074212,0.2557892512901426,0.11931130528237432,0.5286181335250468,0.7672407440897955,20
mean,family,False,MACRO (mean over traits),score,0.6082732132449165,0.25946961317602585,0.12102798719258541,0.48724522605233106,0.7293012004375019,20
mean,family,True,MACRO (mean over traits),score,0.5963125243137528,0.26480013382758116,0.12351437539523241,0.4727981489185204,0.7198268997089852,20
mean,genus,False,MACRO (mean over traits),score,0.6294199620554239,0.26030278902936355,0.12141661688710967,0.5080033451683142,0.7508365789425336,20
mean,species,False,MACRO (mean over traits),score,0.6407678877869418,0.2526249943296591,0.11783535730449823,0.5229325304824436,0.7586032450914401,20
set_transformer,family,False,MACRO (mean over traits),score,0.5979476907027749,0.2613120739032513,0.12188739153889014,0.4760602991638847,0.719835082241665,20
set_transformer,family,True,MACRO (mean over traits),score,0.6105389545858615,0.25610548346685974,0.11945880981427355,0.49108014477158796,0.7299977644001351,20
set_transformer,genus,False,MACRO (mean over traits),score,0.6301091432225772,0.26480255177411516,0.12351550323135382,0.5065936399912233,0.753624646453931,20
set_transformer,species,False,MACRO (mean over traits),score,0.6416144229698161,0.2559672718507583,0.11939434186560456,0.5222200811042115,0.7610087648354207,20
attention,family,False,amr_phenotype,f1,0.37730622166999334,0.007877794256442713,0.019571105268587793,0.35773511640140554,0.39687732693858113,3
attention,family,False,biosafety_level,acc,0.8384180863698324,0.011084662273794923,0.027538050013144785,0.8108800363566876,0.8659561363829772,3
attention,family,False,carbon_utilization,f1,0.5305329202954234,0.0026558920337491996,0.006598134056623708,0.5239347862387997,0.5371310543520471,3
attention,family,False,catalase,acc,0.8696759343147278,0.004726981593462979,0.011743420982679427,0.8579325133320483,0.8814193552974072,3
attention,family,False,cell_shape,acc,0.5264084537823995,0.019604811256475473,0.04870498167142207,0.47770347211097747,0.5751134354538217,3
attention,family,False,country,acc,0.021776114280025165,0.000900221252236891,0.002236454052876449,0.019539660227148717,0.024012568332901614,3
attention,family,False,cultivation_medium,f1,0.34747135817586244,0.004068435215897332,0.010107369054940411,0.337363989120922,0.35757872723080286,3
attention,family,False,cytochrome_oxidase,acc,0.8365432024002075,0.007419753150337595,0.01843317624770834,0.8181100261524992,0.8549763786479159,3
attention,family,False,fatty_acid_profile,rmse,0.09528260966252768,0.0019202417800803639,0.004770530023471741,0.09051207963905593,0.10005313968599942,3
attention,family,False,gram_stain,acc,0.9451152682304382,0.0034275592767503333,0.008515216472522662,0.9366000517579156,0.9536304847029609,3
attention,family,False,halophily,acc,0.4718126555283864,0.007560974569058614,0.018784018014070543,0.4530286375143159,0.49059667354245695,3
attention,family,False,isolation_source,acc,0.399999996026357,0.03968626561085053,0.09859410600268949,0.3014058900236675,0.49859410202904647,3
attention,family,False,metabolite_production,f1,0.12011008940035255,0.001350516925427804,0.003355140798827143,0.11675494860152541,0.12346523019917968,3
