file,pooling,split,seed,balanced,module,key,rows,cols,min_dim,effective_rank,rank_fraction,stable_rank,sigma_max
attention_family_s0.pt,attention,family,0,0,pool,pool.score.0.weight,640,640,640,6.3944,0.01,1.3324,30.5157
attention_family_s0.pt,attention,family,0,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.1549
attention_family_s0.pt,attention,family,0,0,encoder,encoder.0.weight,512,640,512,36.5886,0.0715,7.6802,13.9622
attention_family_s0.pt,attention,family,0,0,encoder,encoder.3.weight,256,512,256,59.442,0.2322,10.5976,5.923
attention_family_s0.pt,attention,family,0,0,head,heads.gram_stain.weight,3,256,3,2.4203,0.8068,1.6297,1.7572
attention_family_s0.pt,attention,family,0,0,head,heads.cell_shape.weight,7,256,7,5.6009,0.8001,2.8966,2.1516
attention_family_s0.pt,attention,family,0,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.2582
attention_family_s0.pt,attention,family,0,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.6304
attention_family_s0.pt,attention,family,0,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7383
attention_family_s0.pt,attention,family,0,0,head,heads.oxygen_tolerance.weight,6,256,6,3.7563,0.626,1.7611,2.7787
attention_family_s0.pt,attention,family,0,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.2571
attention_family_s0.pt,attention,family,0,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.3389
attention_family_s0.pt,attention,family,0,0,head,heads.halophily.weight,4,256,4,3.221,0.8052,1.8132,1.2954
attention_family_s0.pt,attention,family,0,0,head,heads.temperature_class.weight,5,256,5,3.5564,0.7113,2.0546,2.4319
attention_family_s0.pt,attention,family,0,0,head,heads.ph_class.weight,3,256,3,2.488,0.8293,1.5822,1.0792
attention_family_s0.pt,attention,family,0,0,head,heads.cultivation_medium.weight,200,256,200,6.6069,0.033,1.513,30.1897
attention_family_s0.pt,attention,family,0,0,head,heads.carbon_utilization.weight,80,256,80,33.7131,0.4214,5.6689,3.7596
attention_family_s0.pt,attention,family,0,0,head,heads.metabolite_production.weight,50,256,50,16.8666,0.3373,2.6569,4.5253
attention_family_s0.pt,attention,family,0,0,head,heads.amr_phenotype.weight,30,256,30,18.2248,0.6075,4.6701,2.9204
attention_family_s0.pt,attention,family,0,0,head,heads.biosafety_level.weight,4,256,4,2.4856,0.6214,1.4603,2.9181
attention_family_s0.pt,attention,family,0,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.363
attention_family_s0.pt,attention,family,0,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.3972
attention_family_s0.pt,attention,family,0,0,head,heads.isolation_source.weight,20,256,20,9.003,0.4502,2.4492,5.2376
attention_family_s0.pt,attention,family,0,0,head,heads.country.weight,100,256,100,14.902,0.149,2.1585,14.3637
attention_family_s0.pt,attention,family,0,0,head,heads.fatty_acid_profile.weight,30,256,30,23.9637,0.7988,11.5413,0.4561
attention_genus_s0.pt,attention,genus,0,0,pool,pool.score.0.weight,640,640,640,6.0379,0.0094,1.3118,30.7375
attention_genus_s0.pt,attention,genus,0,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.2356
attention_genus_s0.pt,attention,genus,0,0,encoder,encoder.0.weight,512,640,512,36.125,0.0706,8.3096,13.4969
attention_genus_s0.pt,attention,genus,0,0,encoder,encoder.3.weight,256,512,256,58.588,0.2289,10.409,6.0084
attention_genus_s0.pt,attention,genus,0,0,head,heads.gram_stain.weight,3,256,3,2.3991,0.7997,1.6385,1.715
