trait,curve,k_families,seed,n_train,f1,auroc
pathogenicity_human,natural,5,1,26,0.5014291854717386,0.7167616440814861
pathogenicity_human,natural,5,2,66,0.519512754220091,0.6747210505848216
pathogenicity_human,natural,5,3,169,0.4624088169130976,0.5906809955427922
pathogenicity_human,natural,5,4,424,0.4419297306937756,0.48610487899727783
pathogenicity_human,natural,10,1,253,0.5530974399257329,0.7415380358371474
pathogenicity_human,natural,10,2,256,0.4928663795541,0.46717296359448385
pathogenicity_human,natural,10,3,568,0.5107046666300226,0.7029300906398634
pathogenicity_human,natural,20,0,672,0.5290116115109678,0.5798782494241526
pathogenicity_human,natural,20,1,547,0.4769721096225741,0.547843937898232
pathogenicity_human,natural,20,2,1104,0.46680107324845554,0.478035538005923
pathogenicity_human,natural,20,3,396,0.546223861211568,0.6916898501301265
pathogenicity_human,natural,20,4,378,0.5495965326473802,0.7075854796733375
pathogenicity_human,natural,40,0,885,0.5551362320703369,0.7575346256244578
pathogenicity_human,natural,40,1,1065,0.5163643909524798,0.5308676598163271
pathogenicity_human,natural,40,2,1881,0.545117234871035,0.6253776660982979
pathogenicity_human,natural,40,3,1125,0.5533914361500568,0.7565399802566634
pathogenicity_human,natural,40,4,607,0.5360676173310283,0.6740741571689253
pathogenicity_human,natural,80,0,2580,0.5408820223579032,0.6095119507014867
pathogenicity_human,natural,80,1,2536,0.5528448064756584,0.7026683418588651
pathogenicity_human,natural,80,2,2351,0.5793891800932284,0.7607616141673397
pathogenicity_human,natural,80,3,2152,0.5221638790864336,0.7006566155134762
pathogenicity_human,natural,80,4,2242,0.5587417391873323,0.6407984085674115
pathogenicity_human,natural,195,0,6159,0.580240131529161,0.7607429178258398
pathogenicity_human,natural,195,1,6159,0.580240131529161,0.7607429178258398
pathogenicity_human,natural,195,2,6159,0.580240131529161,0.7607429178258398
pathogenicity_human,natural,195,3,6159,0.580240131529161,0.7607429178258398
pathogenicity_human,natural,195,4,6159,0.580240131529161,0.7607429178258398
pathogenicity_animal,natural,5,0,58,0.41841151131323423,0.29623775690430315
pathogenicity_animal,natural,5,1,32,0.5581705473202613,0.7715157353885678
pathogenicity_animal,natural,5,3,102,0.4774612622405973,0.779729648362235
pathogenicity_animal,natural,5,4,70,0.48261076703191996,0.5058857177263969
pathogenicity_animal,natural,10,1,137,0.4825248332343612,0.8478544476557482
pathogenicity_animal,natural,10,2,574,0.5083713886354462,0.7260607337829158
pathogenicity_animal,natural,10,3,1145,0.5745240422659778,0.7490416265253692
pathogenicity_animal,natural,10,4,308,0.5501013163622173,0.7929863118175979
pathogenicity_animal,natural,20,0,433,0.6043748234802933,0.839665622992935
pathogenicity_animal,natural,20,1,279,0.5555118147137943,0.5895201107899808
pathogenicity_animal,natural,20,2,1033,0.4716689560439561,0.4014982739242132
pathogenicity_animal,natural,20,3,316,0.5135676014401023,0.7033206888246628
pathogenicity_animal,natural,20,4,938,0.5414716842324115,0.62291265253693
pathogenicity_animal,natural,40,0,1125,0.4847755318343554,0.638131221901092
pathogenicity_animal,natural,40,1,1137,0.4979775800300474,0.5269097222222222
pathogenicity_animal,natural,40,2,1945,0.478538806993766,0.4545048570969814
pathogenicity_animal,natural,40,3,852,0.5520301455996789,0.7768093689788054
pathogenicity_animal,natural,40,4,576,0.594285419833561,0.7806428628773281
pathogenicity_animal,natural,80,0,2700,0.5184428515077735,0.6211313824662812
pathogenicity_animal,natural,80,1,1910,0.5479751988836621,0.6819404303147077
pathogenicity_animal,natural,80,2,2703,0.5909794403623359,0.7895793192035966
pathogenicity_animal,natural,80,3,2033,0.543923233578406,0.7345305475272963
pathogenicity_animal,natural,80,4,2482,0.5655957095872551,0.7755097944765574
pathogenicity_animal,natural,198,0,6300,0.5686669666659757,0.7730812459858702
pathogenicity_animal,natural,198,1,6300,0.5686669666659757,0.7730812459858702
pathogenicity_animal,natural,198,2,6300,0.5686669666659757,0.7730812459858702
pathogenicity_animal,natural,198,3,6300,0.5686669666659757,0.7730812459858702
pathogenicity_animal,natural,198,4,6300,0.5686669666659757,0.7730812459858702
motility,natural,5,0,33,0.5179650559779777,0.5410084350495006
motility,natural,5,1,71,0.4378720873208408,0.43103133857342885
motility,natural,5,2,65,0.5916676927948212,0.6148143454568495
motility,natural,5,3,15,0.489523942387317,0.5870163910104441
motility,natural,5,4,56,0.451468153215821,0.472920678389397
motility,natural,10,0,280,0.5786872142194107,0.6182916011139582
motility,natural,10,1,383,0.377195872398479,0.38602328679477393
motility,natural,10,2,641,0.41240350875285303,0.43109161100481874
motility,natural,10,3,364,0.5640950999893982,0.615273343203588
