split,seed,head,metric,train,test,gap
species,0,gram_stain,acc,0.9719,0.9594,0.0125
species,0,cell_shape,acc,0.8494,0.8336,0.0158
species,0,motility,acc,0.8019,0.755,0.047
species,0,sporulation,acc,0.9439,0.9428,0.0011
species,0,pigmentation,acc,0.716,0.7144,0.0016
species,0,oxygen_tolerance,acc,0.8099,0.833,-0.0231
species,0,catalase,acc,0.9107,0.906,0.0047
species,0,cytochrome_oxidase,acc,0.8678,0.8272,0.0405
species,0,halophily,acc,0.737,0.6739,0.0631
species,0,temperature_class,acc,0.9735,0.961,0.0125
species,0,ph_class,acc,0.6544,0.6513,0.0031
species,0,cultivation_medium,f1,0.2675,0.2407,0.0268
species,0,carbon_utilization,f1,0.5499,0.5372,0.0127
species,0,metabolite_production,f1,0.1585,0.1055,0.053
species,0,amr_phenotype,f1,0.5283,0.4009,0.1273
species,0,biosafety_level,acc,0.8379,0.8773,-0.0394
species,0,pathogenicity_human,acc,0.8622,0.9319,-0.0697
species,0,pathogenicity_animal,acc,0.8901,0.9377,-0.0475
species,0,isolation_source,acc,0.6088,0.6071,0.0018
species,0,country,acc,0.2396,0.2075,0.0321
species,0,fatty_acid_profile,rmse,0.0759,0.09,-0.0142
species,1,gram_stain,acc,0.9703,0.9565,0.0139
species,1,cell_shape,acc,0.8477,0.8306,0.0172
species,1,motility,acc,0.8014,0.7487,0.0526
species,1,sporulation,acc,0.94,0.9383,0.0017
species,1,pigmentation,acc,0.7168,0.7127,0.0041
species,1,oxygen_tolerance,acc,0.802,0.8323,-0.0304
species,1,catalase,acc,0.9107,0.9086,0.002
species,1,cytochrome_oxidase,acc,0.8622,0.8202,0.042
species,1,halophily,acc,0.7229,0.668,0.0549
species,1,temperature_class,acc,0.9721,0.9602,0.012
species,1,ph_class,acc,0.6571,0.6461,0.011
species,1,cultivation_medium,f1,0.2802,0.2442,0.036
species,1,carbon_utilization,f1,0.5584,0.5476,0.0108
species,1,metabolite_production,f1,0.1657,0.1088,0.0568
species,1,amr_phenotype,f1,0.5183,0.3825,0.1358
species,1,biosafety_level,acc,0.837,0.8702,-0.0332
species,1,pathogenicity_human,acc,0.8609,0.9322,-0.0714
species,1,pathogenicity_animal,acc,0.8908,0.9342,-0.0434
species,1,isolation_source,acc,0.6039,0.6054,-0.0015
species,1,country,acc,0.2383,0.2044,0.034
species,1,fatty_acid_profile,rmse,0.0783,0.093,-0.0147
species,2,gram_stain,acc,0.9719,0.9605,0.0114
species,2,cell_shape,acc,0.8521,0.8332,0.0189
species,2,motility,acc,0.8003,0.7522,0.048
species,2,sporulation,acc,0.9406,0.9428,-0.0022
species,2,pigmentation,acc,0.7176,0.7101,0.0075
species,2,oxygen_tolerance,acc,0.8074,0.8333,-0.026
species,2,catalase,acc,0.9143,0.9051,0.0092
species,2,cytochrome_oxidase,acc,0.8651,0.8254,0.0398
species,2,halophily,acc,0.7399,0.6714,0.0685
species,2,temperature_class,acc,0.9739,0.9621,0.0118
species,2,ph_class,acc,0.6538,0.6571,-0.0033
species,2,cultivation_medium,f1,0.2809,0.2427,0.0382
species,2,carbon_utilization,f1,0.5408,0.528,0.0128
species,2,metabolite_production,f1,0.1549,0.1066,0.0482
species,2,amr_phenotype,f1,0.5172,0.3845,0.1327
species,2,biosafety_level,acc,0.8416,0.8797,-0.0381
species,2,pathogenicity_human,acc,0.8609,0.9303,-0.0694
species,2,pathogenicity_animal,acc,0.8901,0.9323,-0.0421
species,2,isolation_source,acc,0.6023,0.5868,0.0154
species,2,country,acc,0.2425,0.2029,0.0396
