level,trait,n_test,pos_rate,alpha_star,probe_f1,probe_auroc,knn_uniform_f1,knn_uniform_auroc,knn_phylo_f1,knn_phylo_auroc,blend_f1,blend_auroc,delta_f1,delta_auroc
species,motility,2575,0.4221359223300971,0.2,0.734008975403721,0.805383886795066,0.7510255291647217,0.8250919963201471,0.7570235441414481,0.8286784926452405,0.7641343170901522,0.837491715385148,0.030125341686431217,0.03210782859008199
species,sporulation,1329,0.32806621519939805,0.4,0.9007757137072282,0.9552148720424916,0.9279952523511446,0.9754063203098513,0.9217094741275149,0.9770616517870901,0.9338912966413271,0.9783715339490635,0.033115582934098886,0.02315666190657195
species,catalase,2244,0.8484848484848485,0.2,0.7207112074512552,0.8016744933267425,0.7909700665057415,0.8350067968363816,0.7839332619529968,0.8399059256055363,0.795214329114762,0.8519370983687592,0.07450312166350681,0.05026260504201674
species,cytochrome_oxidase,2130,0.6352112676056338,0.3,0.7487360374295744,0.8177960982839032,0.8072768525376889,0.8596616889299815,0.8080441135648634,0.8614257272793858,0.8128312828514261,0.8619645936719107,0.06409524542185174,0.04416849538800749
species,pigmentation,1166,0.7238421955403087,0.0,0.49886143321846554,0.5200465102587501,0.5758597883597883,0.5971895145859702,0.5522946194554348,0.5992335374289836,0.5522946194554348,0.5992335374289836,0.05343318623696924,0.0791870271702334
species,pathogenicity_human,3084,0.048638132295719845,0.2,0.5489528122070766,0.7832674392183595,0.647935959902049,0.8137889116109975,0.643273790835633,0.8189752329016134,0.6462561137566469,0.84342422176778,0.09730330154957034,0.06015678254942047
species,pathogenicity_animal,3144,0.05597964376590331,0.2,0.592117901797343,0.8252075165400639,0.6379726159429715,0.8790431266846361,0.6737216728647895,0.8837878660254839,0.6822220056701394,0.8938143224699828,0.09010410387279633,0.06860680592991897
genus,motility,1968,0.42784552845528456,0.0,0.6866864856596717,0.7554077030499149,0.6951303960513762,0.7510125599625352,0.7066191930267196,0.7542142534690726,0.7066191930267196,0.7542142534690726,0.019932707367047886,-0.0011934495808423318
genus,sporulation,979,0.27374872318692545,0.4,0.8591429680984486,0.9350924701387577,0.8535921517018603,0.9412798874824192,0.8507328349399961,0.9424082121040369,0.8731131981416123,0.9527048302789849,0.013970230043163667,0.017612360140227157
genus,catalase,1656,0.8345410628019324,0.5,0.7004157379744234,0.8001917246770258,0.771907333075246,0.7880544434702694,0.770954356846473,0.7890909715106638,0.7860974200346714,0.8144284703222875,0.08568168206024807,0.014236745645261673
genus,cytochrome_oxidase,1573,0.6891290527654164,0.4,0.7299387871768601,0.7903508176186056,0.7731214576532313,0.8373770930960843,0.7771870514467025,0.8367658599898882,0.7784222189448686,0.8347670900021884,0.04848343176800851,0.04441627238358281
genus,pigmentation,930,0.7387096774193549,1.0,0.49701453790238836,0.5083053294277619,0.5245265575974899,0.5453902875866324,0.5320488335194218,0.5551182753188252,0.49701453790238836,0.5083053294277619,0.0,0.0
genus,pathogenicity_human,2511,0.05137395459976105,0.0,0.5470570308381655,0.7579358105689311,0.5224841038389827,0.6731559044253086,0.5348543644821976,0.6758228704951216,0.5348543644821976,0.6758228704951216,-0.012202666355967895,-0.08211294007380954
genus,pathogenicity_animal,2567,0.043241137514608494,0.4,0.5636513028398619,0.7891466384951726,0.5377821695213,0.691177333685477,0.5606717190580426,0.6935836487953752,0.5773196658555111,0.7886257593097985,0.01366836301564922,-0.0005208791853741346
family,motility,1673,0.36282127913927076,0.5,0.6364310269107871,0.6959317654258789,0.6266357383900615,0.6925395093514997,0.6239355541736318,0.6912591065462043,0.655985314742564,0.7208567339760332,0.01955428783177693,0.02492496855015436
family,sporulation,809,0.25339925834363414,0.4,0.8268575351316427,0.9249878856404457,0.8196676961063556,0.9147835567759652,0.8211276255988208,0.9178000323049589,0.8484167135094622,0.9350993377483443,0.02155917837781951,0.010111452107898655
family,catalase,1442,0.8176144244105409,0.4,0.6863365979246062,0.7926660152155756,0.6900881361279255,0.7457792741802843,0.6766354759138076,0.748372178523399,0.722088862146499,0.7971842477836151,0.035752264221892815,0.004518232568039515
family,cytochrome_oxidase,1352,0.6760355029585798,0.6,0.75765076231378,0.8368229369623214,0.8085612056676794,0.8586435758320593,0.8045568702885967,0.8615611542419792,0.7997819261110677,0.8651069612221856,0.04213116379728765,0.028284024259864204
family,pigmentation,758,0.7361477572559367,0.0,0.48732884275618377,0.5000627240143369,0.4874818325434439,0.5793593189964158,0.4881091101694915,0.573584229390681,0.4881091101694915,0.573584229390681,0.0007802674133077225,0.07352150537634405
family,pathogenicity_human,2158,0.061167747914735865,0.5,0.5814811473931084,0.7607466570941399,0.5074400420855797,0.6821285410870801,0.5143951359889218,0.6793932663256455,0.5753731516416438,0.7600698495318436,-0.00610799575146459,-0.0006768075622962666
family,pathogenicity_animal,2172,0.04419889502762431,0.4,0.5686669666659757,0.7732016698779703,0.5236485554780731,0.6815615968208094,0.5223429634127101,0.6834156229929352,0.5556840265579209,0.7640946130378935,-0.012982940108054786,-0.009107056840076844
