level,trait,n_train,n_pool,n_pseudo,n_test,pos_rate,sup_f1,sup_auroc,st_f1,st_auroc,delta_f1,delta_auroc
species,motility,3620,5255,2904,2575,0.4221359223300971,0.734008975403721,0.805383886795066,0.7334696607740085,0.8047977812070312,-0.0005393146297124618,-0.0005861055880348465
species,sporulation,1533,7342,6513,1329,0.32806621519939805,0.9007757137072282,0.9552148720424916,0.8998462651474046,0.9550299475019777,-0.0009294485598235758,-0.00018492454051388663
species,pathogenicity_human,4406,4469,2478,3084,0.048638132295719845,0.5489528122070766,0.7832674392183595,0.5539829078865318,0.7856827993637812,0.0050300956794552265,0.0024153601454216522
species,pathogenicity_animal,4469,4406,2762,3144,0.05597964376590331,0.592117901797343,0.8252075165400639,0.5974865286554261,0.8274990045332026,0.0053686268580830365,0.002291487993138719
genus,motility,4888,6354,3738,1968,0.42784552845528456,0.6866864856596717,0.7554077030499149,0.6873346734969767,0.7556334195415635,0.0006481878373050254,0.00022571649164859764
genus,sporulation,2271,8971,8055,979,0.27374872318692545,0.8591429680984486,0.9350924701387577,0.8579100145137881,0.9335810399479396,-0.0012329535846604678,-0.0015114301908181194
genus,pathogenicity_human,5837,5405,3210,2511,0.05137395459976105,0.5470570308381655,0.7579358105689311,0.5553751338263456,0.7611185961897695,0.008318102988180143,0.003182785620838402
genus,pathogenicity_animal,5922,5320,3350,2567,0.043241137514608494,0.5636513028398619,0.7891466384951726,0.5684249178616596,0.7907863074801185,0.004773615021797739,0.0016396689849458301
family,motility,5196,6595,3667,1673,0.36282127913927076,0.6364310269107871,0.6959317654258789,0.6333030541319812,0.6957617662604202,-0.003127972778805943,-0.00016999916545867855
family,sporulation,2473,9318,8223,809,0.25339925834363414,0.8268575351316427,0.9249878856404457,0.8263534462198903,0.9259812631238895,-0.000504088911752465,0.000993377483443858
family,pathogenicity_human,6159,5632,3237,2158,0.061167747914735865,0.5814811473931084,0.7607466570941399,0.5845325140809012,0.7619095695354333,0.0030513666877928225,0.0011629124412934067
family,pathogenicity_animal,6300,5491,3521,2172,0.04419889502762431,0.5686669666659757,0.7732016698779703,0.5694320547130538,0.7714404704560052,0.0007650880470780885,-0.001761199421965176
