trait,family,n,pos_rate,mean_centroid_cos,mean_top1_cos,probe_abs_error,knn_abs_error
motility,Acanthopleuribacteraceae,1,1.0,0.6853583602039925,0.632421191265805,0.6875526109730082,0.6
motility,Acidiferrobacteraceae,1,1.0,0.7311439817585366,0.7185185457028841,0.10930188124503859,0.09999999999999998
motility,Acidilobaceae,3,0.6666666666666666,0.9211539628220032,0.9006646308190923,0.4498386024733257,0.5333333333333333
motility,Actinopolymorphaceae,2,0.0,0.9473606970104747,0.9350082917388886,0.12060275436367693,0.1
motility,Aggregatilineaceae,1,0.0,0.6753595342997898,0.6554638602750988,0.3396486576362123,0.2
motility,Alcanivoracaceae,10,0.7,0.8049445084866663,0.8182732305342683,0.40374950776290275,0.39
motility,Alicyclobacillaceae,20,0.5,0.6333747236831696,0.6622340742907858,0.42517722518727047,0.525
motility,Aminiphilaceae,1,1.0,0.8772043738739996,0.8015771676776962,0.19347038242035175,0.4
motility,Antricoccaceae,3,0.0,0.9133467768796463,0.9111534535180219,0.10276882406595818,0.26666666666666666
motility,Aurantimonadaceae,16,0.875,0.8843712219633589,0.8676425381495091,0.380772427105973,0.33125
motility,Bacteroidaceae,32,0.03125,0.8806750889631217,0.8707355404439083,0.4977539376077915,0.1625
motility,Balneolaceae,14,0.07142857142857142,0.797211099537447,0.8283289319950938,0.5690123862653385,0.5428571428571429
motility,Beggiatoaceae,1,1.0,0.7643273690904627,0.8117885919102068,0.4807512272702149,1.0
motility,Beijerinckiaceae,6,0.0,0.883238227700469,0.8631297152979834,0.7112196872475942,0.7666666666666667
motility,Beutenbergiaceae,4,0.0,0.9488876200871545,0.9401198939172901,0.19339118525358645,0.19999999999999998
motility,Bifidobacteriaceae,52,0.0,0.6273769278799983,0.7016823004669893,0.10310172389677627,0.007692307692307693
motility,Brachyspiraceae,3,1.0,0.9348642635755661,0.9311364396561044,0.46284133840042035,0.5666666666666668
motility,Breznakiellaceae,1,1.0,0.8017523273649085,0.7256369610791318,0.32067209632624705,0.09999999999999998
motility,Bryobacteraceae,1,0.0,0.6621321957694367,0.690697499261906,0.38229068447797093,0.3
motility,Carboxydocellaceae,1,1.0,0.7826281807070896,0.8122984349595447,0.5573962453614929,0.6
motility,Carnobacteriaceae,42,0.30952380952380953,0.8616372018470975,0.8750892279057516,0.41944791120592645,0.35
motility,Caulobacteraceae,35,0.6571428571428571,0.8727086874235325,0.8681175742169568,0.48262774744048037,0.4857142857142857
motility,Chlorobiaceae,5,0.0,0.741743071326224,0.7235887716547064,0.7592032716054363,0.86
motility,Chthoniobacteraceae,1,0.0,0.7461626020519595,0.7620043457866779,0.27520411270620804,0.7
motility,Chthonomonadaceae,1,1.0,0.8170412761713413,0.7967456241448815,0.7390955326501722,1.0
motility,Competibacteraceae,1,1.0,0.8968471966962188,0.8968471966962188,0.23063492015099363,0.30000000000000004
motility,Coxiellaceae,2,0.0,0.7069238670876127,0.7164757053874284,0.5679753596744195,0.55
motility,Cryptosporangiaceae,1,0.0,0.9074366311987405,0.9113034120331273,0.09025076353310008,0.1
motility,Cyclobacteriaceae,53,0.07547169811320754,0.8648490954557027,0.8695005981330877,0.5052703648415746,0.3754716981132076
motility,Cytobacillaceae,25,0.8,0.8567007265168063,0.8792246288094302,0.33087073053295085,0.27999999999999997
motility,Deferribacteraceae,3,0.6666666666666666,0.9306817842409062,0.9288539701636709,0.45381870847435374,0.5666666666666668
motility,Defluviitaleaceae,1,0.0,0.9161179529882866,0.9009963281617953,0.8246009707364766,1.0
motility,Dehalococcoidaceae,4,0.0,0.765675409619085,0.7356910042789815,0.5610507677884959,0.6499999999999999
motility,Desulfarculaceae,1,1.0,0.7785620524039232,0.7356023794503568,0.3422721103131827,0.19999999999999996
motility,Desulfobacteraceae,2,0.0,0.7953966466175427,0.7971150255224728,0.8563449867705966,0.7
motility,Desulfurobacteriaceae,4,1.0,0.9253406790417293,0.90250368405293,0.4135672200115451,0.475
motility,Dethiosulfatibacteraceae,1,0.0,0.8703430095326433,0.9214268223534392,0.69234399316533,0.7
motility,Dethiosulfovibrionaceae,3,0.3333333333333333,0.7728443818943748,0.7638292495769331,0.3719075121763482,0.5666666666666668
motility,Devosiaceae,21,0.8571428571428571,0.8214169439773522,0.8247095741810868,0.509645622960388,0.5095238095238095
motility,Dictyobacteraceae,3,0.0,0.8159115688896611,0.8159115688896614,0.3140382066267356,0.20000000000000004
motility,Dissulfuribacteraceae,2,1.0,0.8386924998510583,0.8854445480854737,0.3382450415591043,0.35
motility,Ehrlichiaceae,1,0.0,0.8546531416218207,0.8945953118508791,0.6922614611627486,0.7
motility,Emcibacteraceae,1,1.0,0.655871584373622,0.6335407304142435,0.08696540601073144,0.30000000000000004
motility,Erythrobacteraceae,87,0.2988505747126437,0.8536866681584796,0.8411328906274107,0.5261668597827962,0.5126436781609195
motility,"Eubacteriales, not assigned to family",1,1.0,0.8332924180254401,0.8537120937149676,0.3988892175571296,0.4
motility,"Gammaproteobacteria, not assigned to family",2,1.0,0.859756350958994,0.8832616508342219,0.26166820938204954,0.25
motility,Geoalkalibacteraceae,1,1.0,0.8186875944406903,0.7682288423161718,0.2780044818850045,0.09999999999999998
motility,Geodermatophilaceae,12,0.6666666666666666,0.9559670927711217,0.9563202092901113,0.6243011510647359,0.4750000000000001
motility,Geopsychrobacteraceae,1,1.0,0.7561424936246055,0.6734459136879628,0.07519116488731914,0.30000000000000004
motility,Glycomycetaceae,3,0.0,0.9082822269550931,0.916208363369592,0.12910273710178047,0.06666666666666667
motility,Gottschalkiaceae,2,0.5,0.8812513178895747,0.879101741024809,0.5388048962866352,0.30000000000000004
motility,Haloferacaceae,43,0.5581395348837209,0.9904873155672728,0.9904699304913477,0.5174511939052939,0.5069767441860464
motility,Hydrogenothermaceae,3,1.0,0.9279631627215403,0.9109513982926002,0.43072346122334376,0.4666666666666666
