target,group,step,model,rank,primary_metric,score
motility,binary_trait,0,logistic_l2,6,auroc,0.6773771292395474
motility,binary_trait,1,logistic_l2,10,auroc,0.6636288330948192
motility,binary_trait,2,logistic_l2,25,auroc,0.6962099458784474
motility,binary_trait,3,logistic_l2,50,auroc,0.7053512646392462
motility,binary_trait,4,logistic_l2,100,auroc,0.7145884011114855
motility,binary_trait,5,logistic_l2,full,auroc,0.6961079463791723
motility,binary_trait,6,regularized_rf,full,auroc,0.7384856474340944
motility,binary_trait,7,hist_gd,full,auroc,0.7212060049887028
sporulation,binary_trait,0,logistic_l2,6,auroc,0.8238329833629463
sporulation,binary_trait,1,logistic_l2,10,auroc,0.8322888063317719
sporulation,binary_trait,2,logistic_l2,25,auroc,0.9225730899693103
sporulation,binary_trait,3,logistic_l2,50,auroc,0.9333871749313518
sporulation,binary_trait,4,logistic_l2,100,auroc,0.9332741075755129
sporulation,binary_trait,5,logistic_l2,full,auroc,0.9247940558875788
sporulation,binary_trait,6,regularized_rf,full,auroc,0.9338475205944113
sporulation,binary_trait,7,hist_gd,full,auroc,0.9397997092553706
catalase,binary_trait,0,logistic_l2,6,auroc,0.750539382153465
catalase,binary_trait,1,logistic_l2,10,auroc,0.7958474830445341
catalase,binary_trait,2,logistic_l2,25,auroc,0.8050322984290998
catalase,binary_trait,3,logistic_l2,50,auroc,0.8123401606697691
catalase,binary_trait,4,logistic_l2,100,auroc,0.8157780164281776
catalase,binary_trait,5,logistic_l2,full,auroc,0.7925644275454161
catalase,binary_trait,6,regularized_rf,full,auroc,0.7879075197450955
catalase,binary_trait,7,hist_gd,full,auroc,0.8025619442912567
