target,group,source,arm,model,rank,primary_metric,score,lift
motility,binary_trait,taxonomy,embed,logistic_l2,25,auroc,0.6962099458784474,
motility,binary_trait,taxonomy,embed,regularized_rf,full,auroc,0.7384856474340944,
motility,binary_trait,taxonomy,embed,hist_gd,full,auroc,0.7212060049887028,
motility,binary_trait,taxonomy,extra,logistic_l2,25,auroc,0.7343384405203828,
motility,binary_trait,taxonomy,extra,regularized_rf,full,auroc,0.7418717217206388,
motility,binary_trait,taxonomy,extra,hist_gd,full,auroc,0.7160782119796867,
motility,binary_trait,taxonomy,embed+extra,logistic_l2,25,auroc,0.7127168648444817,0.01650691896603429
motility,binary_trait,taxonomy,embed+extra,regularized_rf,full,auroc,0.7365909294627099,-0.0018947179713845186
motility,binary_trait,taxonomy,embed+extra,hist_gd,full,auroc,0.726387888641274,0.0051818836525712175
motility,binary_trait,isolation,embed,logistic_l2,25,auroc,0.6962099458784474,
motility,binary_trait,isolation,embed,regularized_rf,full,auroc,0.7384856474340944,
motility,binary_trait,isolation,embed,hist_gd,full,auroc,0.7212060049887028,
motility,binary_trait,isolation,extra,logistic_l2,25,auroc,0.48946623352939905,
motility,binary_trait,isolation,extra,regularized_rf,full,auroc,0.5130172997332558,
motility,binary_trait,isolation,extra,hist_gd,full,auroc,0.5231801589337653,
motility,binary_trait,isolation,embed+extra,logistic_l2,25,auroc,0.6939535933187236,-0.0022563525597237843
motility,binary_trait,isolation,embed+extra,regularized_rf,full,auroc,0.7336808528394496,-0.004804794594644779
motility,binary_trait,isolation,embed+extra,hist_gd,full,auroc,0.7234979028284771,0.0022918978397743484
sporulation,binary_trait,taxonomy,embed,logistic_l2,25,auroc,0.9225730899693103,
sporulation,binary_trait,taxonomy,embed,regularized_rf,full,auroc,0.9338475205944113,
sporulation,binary_trait,taxonomy,embed,hist_gd,full,auroc,0.9397997092553706,
sporulation,binary_trait,taxonomy,extra,logistic_l2,25,auroc,0.9114117267000484,
sporulation,binary_trait,taxonomy,extra,regularized_rf,full,auroc,0.9160999838475206,
sporulation,binary_trait,taxonomy,extra,hist_gd,full,auroc,0.9223348408980778,
sporulation,binary_trait,taxonomy,embed+extra,logistic_l2,25,auroc,0.9340009691487643,0.011427879179453981
sporulation,binary_trait,taxonomy,embed+extra,regularized_rf,full,auroc,0.9422548861250201,0.008407365530608724
sporulation,binary_trait,taxonomy,embed+extra,hist_gd,full,auroc,0.9468421902762074,0.007042481020836822
sporulation,binary_trait,isolation,embed,logistic_l2,25,auroc,0.9225730899693103,
sporulation,binary_trait,isolation,embed,regularized_rf,full,auroc,0.9338475205944113,
sporulation,binary_trait,isolation,embed,hist_gd,full,auroc,0.9397997092553706,
sporulation,binary_trait,isolation,extra,logistic_l2,25,auroc,0.6499232757228235,
sporulation,binary_trait,isolation,extra,regularized_rf,full,auroc,0.6368720723631077,
sporulation,binary_trait,isolation,extra,hist_gd,full,auroc,0.6294500080762397,
sporulation,binary_trait,isolation,embed+extra,logistic_l2,25,auroc,0.9241641091907609,0.0015910192214505514
sporulation,binary_trait,isolation,embed+extra,regularized_rf,full,auroc,0.9345340009691487,0.0006864803747373971
sporulation,binary_trait,isolation,embed+extra,hist_gd,full,auroc,0.9415926344693912,0.0017929252140206353
catalase,binary_trait,taxonomy,embed,logistic_l2,25,auroc,0.8050322984290998,
catalase,binary_trait,taxonomy,embed,regularized_rf,full,auroc,0.7879075197450955,
catalase,binary_trait,taxonomy,embed,hist_gd,full,auroc,0.8025619442912567,
catalase,binary_trait,taxonomy,extra,logistic_l2,25,auroc,0.7766409633736137,
catalase,binary_trait,taxonomy,extra,regularized_rf,full,auroc,0.7279111317511457,
catalase,binary_trait,taxonomy,extra,hist_gd,full,auroc,0.7312925499150212,
catalase,binary_trait,taxonomy,embed+extra,logistic_l2,25,auroc,0.8082895538850027,0.00325725545590283
catalase,binary_trait,taxonomy,embed+extra,regularized_rf,full,auroc,0.7979469615611606,0.010039441816065087
catalase,binary_trait,taxonomy,embed+extra,hist_gd,full,auroc,0.7975115858319063,-0.005050358459350424
catalase,binary_trait,isolation,embed,logistic_l2,25,auroc,0.8050322984290998,
catalase,binary_trait,isolation,embed,regularized_rf,full,auroc,0.7879075197450955,
catalase,binary_trait,isolation,embed,hist_gd,full,auroc,0.8025619442912567,
catalase,binary_trait,isolation,extra,logistic_l2,25,auroc,0.6121382753316111,
catalase,binary_trait,isolation,extra,regularized_rf,full,auroc,0.6671036548986219,
catalase,binary_trait,isolation,extra,hist_gd,full,auroc,0.6389670952698846,
catalase,binary_trait,isolation,embed+extra,logistic_l2,25,auroc,0.8051870986883902,0.00015480025929037744
catalase,binary_trait,isolation,embed+extra,regularized_rf,full,auroc,0.7897812478835902,0.0018737281384946236
catalase,binary_trait,isolation,embed+extra,hist_gd,full,auroc,0.8031875953392221,0.0006256510479654143
