target,group,method,primary_metric,score
catalase,binary_trait,best_base,auroc,0.8050322984290998
catalase,binary_trait,soft_vote,auroc,0.8048065480509681
catalase,binary_trait,learned_stack,auroc,0.8092764055379793
cytochrome_oxidase,binary_trait,best_base,auroc,0.8712218858347571
cytochrome_oxidase,binary_trait,soft_vote,auroc,0.8604932905688278
cytochrome_oxidase,binary_trait,learned_stack,auroc,0.8666232027417244
sporulation,binary_trait,best_base,auroc,0.9225730899693103
sporulation,binary_trait,soft_vote,auroc,0.9363511549022775
sporulation,binary_trait,learned_stack,auroc,0.9299063156194476
pigmentation,binary_trait,best_base,auroc,0.5979480286738351
pigmentation,binary_trait,soft_vote,auroc,0.5059677419354838
pigmentation,binary_trait,learned_stack,auroc,0.5791666666666666
pathogenicity_human,binary_trait,best_base,auprc,0.14232777894519555
pathogenicity_human,binary_trait,soft_vote,auprc,0.15493197456266178
pathogenicity_human,binary_trait,learned_stack,auprc,0.14272042664968534
pathogenicity_animal,binary_trait,best_base,auprc,0.20693107903568875
pathogenicity_animal,binary_trait,soft_vote,auprc,0.16660368816617538
pathogenicity_animal,binary_trait,learned_stack,auprc,0.11180966696305045
motility,binary_trait,best_base,auroc,0.7166917544222965
motility,binary_trait,soft_vote,auroc,0.7314507728780241
motility,binary_trait,learned_stack,auroc,0.7156470322782051
cultivation_medium:65,cultivation_medium_one_vs_rest,best_base,auprc,0.8183426306809115
cultivation_medium:65,cultivation_medium_one_vs_rest,soft_vote,auprc,0.8065371848048063
cultivation_medium:65,cultivation_medium_one_vs_rest,learned_stack,auprc,0.7969738730902605
cultivation_medium:514,cultivation_medium_one_vs_rest,best_base,auprc,0.7833163460141767
cultivation_medium:514,cultivation_medium_one_vs_rest,soft_vote,auprc,0.7564313668159622
cultivation_medium:514,cultivation_medium_one_vs_rest,learned_stack,auprc,0.7540211771571955
cultivation_medium:693,cultivation_medium_one_vs_rest,best_base,auprc,0.2611807464295914
cultivation_medium:693,cultivation_medium_one_vs_rest,soft_vote,auprc,0.17703422468135555
cultivation_medium:693,cultivation_medium_one_vs_rest,learned_stack,auprc,0.19617736315947787
cultivation_medium:830,cultivation_medium_one_vs_rest,best_base,auprc,0.4148488901971678
cultivation_medium:830,cultivation_medium_one_vs_rest,soft_vote,auprc,0.35329217782236383
cultivation_medium:830,cultivation_medium_one_vs_rest,learned_stack,auprc,0.3888419089524016
cultivation_medium:92,cultivation_medium_one_vs_rest,best_base,auprc,0.3523993167509671
cultivation_medium:92,cultivation_medium_one_vs_rest,soft_vote,auprc,0.3410918586353465
cultivation_medium:92,cultivation_medium_one_vs_rest,learned_stack,auprc,0.34830749169121034
